Year,AI_Investment_Billion,AI_Job_Postings,AI_Patents_Filed,Global_AI_Adoption_%
2010,16.5,4380,64,2.760609974958405
2011,28.5,6149,164,4.2487629143375205
2012,54.0,9540,321,7.229470554782601
2013,82.5,12055,425,8.367024639243475
2014,105.0,16540,538,13.004306247558603
2015,123.0,20393,718,15.03942617395867
2016,148.5,23826,818,18.6895153113746
2017,162.0,26041,1002,20.936359615732243
2018,178.5,27996,1072,24.016631700443487
2019,199.5,31320,1194,27.203472817816603
2020,210.0,33504,1261,28.942890639918712
2021,226.5,34963,1442,33.82122915097695
2022,249.0,39348,1580,37.92176044442141
2023,271.5,40369,1689,42.679756210678164
2024,289.5,43669,1752,47.25906561238876
2025,303.0,45416,1810,50.6506655276331
2026,315.0,49320,1949,55.33816246772557
2027,333.0,53952,2051,56.69213247593324
2028,351.0,55426,2230,58.47606392560982
2029,361.5,57508,2363,59.65697308125198
2030,376.5,61066,2504,61.958294404305036
